# Time	Temperature [K]	Pressure [Pa]
t	T	P	H2	H	O2	O	OH	HO2	H2O2	H2O	AR	N2
0.0505785	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0508594	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0514214	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0520729	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0521762	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.052202	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0522537	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.052357	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0524087	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.052512	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0525637	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.052667	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0527187	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.052822	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0530286	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0534418	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0542677	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0559182	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0561902	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0567342	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0578222	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0590834	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.060355	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0629014	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0679943	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0782362	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0791777	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0810608	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0815733	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0821677	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
